id,instructions,instructionsLastChangedAt,gameID,gameIDLastChangedAt,ended,endedLastChangedAt,stageIndex,stageIndexLastChangedAt,name,nameLastChangedAt,index,indexLastChangedAt,start,startLastChangedAt,batchID,batchIDLastChangedAt,label,labelLastChangedAt,guesserOrder,guesserOrderLastChangedAt,decision,decisionLastChangedAt,target,targetLastChangedAt,verb,verbLastChangedAt,directorOrder,directorOrderLastChangedAt,images,imagesLastChangedAt
01HN6DQBJKCJQ4WAGX3ZPBNAH8,,2024-01-27T21:38:01.939749128Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:38:01.939749128Z,true,2024-01-27T21:39:38.043137429Z,1,2024-01-27T21:38:03.350837673Z,Round 20,2024-01-27T21:38:01.939749128Z,20,2024-01-27T21:38:01.939749128Z,true,2024-01-27T21:39:32.606180017Z,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:38:01.939749128Z,burglar,2024-01-27T21:38:01.939749128Z,,,,,,,,,,,,
01HN6DQBJP5CG12DJMPJHC9CAF,,2024-01-27T21:38:01.942689414Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:38:01.942689414Z,true,2024-01-27T21:39:32.579126928Z,1,2024-01-27T21:38:03.350837673Z,Round 19,2024-01-27T21:38:01.942689414Z,19,2024-01-27T21:38:01.942689414Z,true,2024-01-27T21:39:28.939520011Z,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:38:01.942689414Z,chef,2024-01-27T21:38:01.942689414Z,,,,,,,,,,,,
01HN6DQBJRNGADVQ6XYRF8FHDZ,,2024-01-27T21:38:01.944569489Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:38:01.944569489Z,true,2024-01-27T21:39:17.385268822Z,1,2024-01-27T21:38:03.329688042Z,Round 15,2024-01-27T21:38:01.944569489Z,15,2024-01-27T21:38:01.944569489Z,true,2024-01-27T21:39:14.269018194Z,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:38:01.944569489Z,clown,2024-01-27T21:38:01.944569489Z,,,,,,,,,,,,
01HN6DQBJZQPYRHB5AJ95SVPMC,,2024-01-27T21:38:01.95118614Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:38:01.95118614Z,true,2024-01-27T21:39:04.611936467Z,1,2024-01-27T21:38:03.35046259Z,Round 11,2024-01-27T21:38:01.95118614Z,11,2024-01-27T21:38:01.95118614Z,true,2024-01-27T21:39:01.256667958Z,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:38:01.95118614Z,cake,2024-01-27T21:38:01.95118614Z,,,,,,,,,,,,
01HN6DQBKAFZAB7MYDTDNYRY93,,2024-01-27T21:38:01.9626845Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:38:01.9626845Z,true,2024-01-27T21:39:08.074099544Z,1,2024-01-27T21:38:03.008722535Z,Round 12,2024-01-27T21:38:01.9626845Z,12,2024-01-27T21:38:01.9626845Z,true,2024-01-27T21:39:04.634132247Z,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:38:01.9626845Z,boxer,2024-01-27T21:38:01.9626845Z,,,,,,,,,,,,
01HN6DQBKFHD8570E6MQB728WT,,2024-01-27T21:38:01.967957154Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:38:01.967957154Z,true,2024-01-27T21:39:11.201613584Z,1,2024-01-27T21:38:03.361361219Z,Round 13,2024-01-27T21:38:01.967957154Z,13,2024-01-27T21:38:01.967957154Z,true,2024-01-27T21:39:08.093512135Z,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:38:01.967957154Z,soldier,2024-01-27T21:38:01.967957154Z,,,,,,,,,,,,
01HN6DQBKKNTPR7BXX4ZB69T43,,2024-01-27T21:38:01.971678124Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:38:01.971678124Z,true,2024-01-27T21:39:14.242639985Z,1,2024-01-27T21:38:03.008722535Z,Round 14,2024-01-27T21:38:01.971678124Z,14,2024-01-27T21:38:01.971678124Z,true,2024-01-27T21:39:11.220421279Z,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:38:01.971678124Z,doctor,2024-01-27T21:38:01.971678124Z,,,,,,,,,,,,
01HN6DQBKQT5CDJ6SS8B9NMFYW,,2024-01-27T21:38:01.975253176Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:38:01.975253176Z,true,2024-01-27T21:39:28.923857379Z,1,2024-01-27T21:38:03.366829492Z,Round 18,2024-01-27T21:38:01.975253176Z,18,2024-01-27T21:38:01.975253176Z,true,2024-01-27T21:39:25.137960668Z,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:38:01.975253176Z,ballerina,2024-01-27T21:38:01.975253176Z,,,,,,,,,,,,
01HN6DQBMMDWYS14X6NTXX252J,,2024-01-27T21:38:02.00408064Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:38:02.00408064Z,true,2024-01-27T21:39:20.778794944Z,1,2024-01-27T21:38:03.051219632Z,Round 16,2024-01-27T21:38:02.00408064Z,16,2024-01-27T21:38:02.00408064Z,true,2024-01-27T21:39:17.410570296Z,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:38:02.00408064Z,gun,2024-01-27T21:38:02.00408064Z,,,,,,,,,,,,
01HN6DQBN4DB4AZC1DZ8X0Z3FJ,,2024-01-27T21:38:02.020111869Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:38:02.020111869Z,true,2024-01-27T21:39:25.123104241Z,1,2024-01-27T21:38:03.051219632Z,Round 17,2024-01-27T21:38:02.020111869Z,17,2024-01-27T21:38:02.020111869Z,true,2024-01-27T21:39:20.797021064Z,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:38:02.020111869Z,palette,2024-01-27T21:38:02.020111869Z,,,,,,,,,,,,
