id,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,roundID,roundIDLastChangedAt,stageID,stageIDLastChangedAt,playerID,playerIDLastChangedAt,submit,submitLastChangedAt
01HN6DRG54TA1H7TMY9K5PGKD8,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:38:39.396205988Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:38:39.396205988Z,01HN6DQBHBWFN993NFBMZAD7J2,2024-01-27T21:38:39.396205988Z,01HN6DQCVTA23XFWX9XJBEFWJ4,2024-01-27T21:38:39.396205988Z,01HN6DM2QFV4W4XX6PP7SQQ7VB,2024-01-27T21:38:39.396205988Z,true,2024-01-27T21:38:43.939265656Z
01HN6DRMPES1KA4NHYQZ2AY49N,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:38:44.04699839Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:38:44.04699839Z,01HN6DQBHNSQZDQGEDW7KYYH2G,2024-01-27T21:38:44.04699839Z,01HN6DQCVEPDBQNF2MNV5XHY6Y,2024-01-27T21:38:44.04699839Z,01HN6DJBKAA6M1H62AF81BYGZ1,2024-01-27T21:38:44.04699839Z,true,2024-01-27T21:38:48.290149515Z
01HN6DRMPPBJM8V684KZC62GKB,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:38:44.054503547Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:38:44.054503547Z,01HN6DQBHNSQZDQGEDW7KYYH2G,2024-01-27T21:38:44.054503547Z,01HN6DQCVEPDBQNF2MNV5XHY6Y,2024-01-27T21:38:44.054503547Z,01HN6DM2QFV4W4XX6PP7SQQ7VB,2024-01-27T21:38:44.054503547Z,true,2024-01-27T21:38:48.12310875Z
01HN6DRRZ1PBK9M0S2NVF6ZH3W,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:38:48.417427401Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:38:48.417427401Z,01HN6DQBHAKF8M40VRR6J2YFEX,2024-01-27T21:38:48.417427401Z,01HN6DQCVARB970WZWKJT3NY9G,2024-01-27T21:38:48.417427401Z,01HN6DJBKAA6M1H62AF81BYGZ1,2024-01-27T21:38:48.417427401Z,true,2024-01-27T21:38:50.200614008Z
01HN6DRRZCFZK0298M1FX3JQEG,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:38:48.428689196Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:38:48.428689196Z,01HN6DQBHAKF8M40VRR6J2YFEX,2024-01-27T21:38:48.428689196Z,01HN6DQCVARB970WZWKJT3NY9G,2024-01-27T21:38:48.428689196Z,01HN6DM2QFV4W4XX6PP7SQQ7VB,2024-01-27T21:38:48.428689196Z,true,2024-01-27T21:38:51.371009666Z
01HN6DRVYFH5Y8AGEBRP5ANYRW,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:38:51.471037607Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:38:51.471037607Z,01HN6DQBJ8PVF0PYETH0BFS9A1,2024-01-27T21:38:51.471037607Z,01HN6DQCW1A6SSQGAYPAJMFN6Q,2024-01-27T21:38:51.471037607Z,01HN6DJBKAA6M1H62AF81BYGZ1,2024-01-27T21:38:51.471037607Z,true,2024-01-27T21:38:53.442485317Z
01HN6DRVYQYB173AVJB4F5BVDR,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:38:51.479428647Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:38:51.479428647Z,01HN6DQBJ8PVF0PYETH0BFS9A1,2024-01-27T21:38:51.479428647Z,01HN6DQCW1A6SSQGAYPAJMFN6Q,2024-01-27T21:38:51.479428647Z,01HN6DM2QFV4W4XX6PP7SQQ7VB,2024-01-27T21:38:51.479428647Z,true,2024-01-27T21:38:54.685816403Z
01HN6DRZ60QX0MBNVSEN3QGGBM,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:38:54.784440156Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:38:54.784440156Z,01HN6DQBJBC7W0W9VY5R52FY4A,2024-01-27T21:38:54.784440156Z,01HN6DQCYEAZA80PEXRB37VZTB,2024-01-27T21:38:54.784440156Z,01HN6DJBKAA6M1H62AF81BYGZ1,2024-01-27T21:38:54.784440156Z,true,2024-01-27T21:38:57.980514238Z
01HN6DRZ6579045RD4BMCS07VZ,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:38:54.789972583Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:38:54.789972583Z,01HN6DQBJBC7W0W9VY5R52FY4A,2024-01-27T21:38:54.789972583Z,01HN6DQCYEAZA80PEXRB37VZTB,2024-01-27T21:38:54.789972583Z,01HN6DM2QFV4W4XX6PP7SQQ7VB,2024-01-27T21:38:54.789972583Z,true,2024-01-27T21:38:58.134112799Z
01HN6DS2GXCF2YDXCSR4BDXBR4,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:38:58.206048838Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:38:58.206048838Z,01HN6DQBHXBSFGDYSER58H5NXN,2024-01-27T21:38:58.206048838Z,01HN6DQCXME275NB9G2QBSJS81,2024-01-27T21:38:58.206048838Z,01HN6DJBKAA6M1H62AF81BYGZ1,2024-01-27T21:38:58.206048838Z,true,2024-01-27T21:38:59.982268026Z
01HN6DS2H8GVHATJ70VK8VB6K5,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:38:58.216225571Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:38:58.216225571Z,01HN6DQBHXBSFGDYSER58H5NXN,2024-01-27T21:38:58.216225571Z,01HN6DQCXME275NB9G2QBSJS81,2024-01-27T21:38:58.216225571Z,01HN6DM2QFV4W4XX6PP7SQQ7VB,2024-01-27T21:38:58.216225571Z,true,2024-01-27T21:39:01.197982056Z
01HN6DS5J2RRP8SBHC7WQC8XMD,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:39:01.314172277Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:39:01.314172277Z,01HN6DQBJZQPYRHB5AJ95SVPMC,2024-01-27T21:39:01.314172277Z,01HN6DQCYQ5HM5Q9BBY5XV00K5,2024-01-27T21:39:01.314172277Z,01HN6DJBKAA6M1H62AF81BYGZ1,2024-01-27T21:39:01.314172277Z,true,2024-01-27T21:39:02.760819917Z
01HN6DS5JECXRY3G15HNERFF07,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:39:01.326221889Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:39:01.326221889Z,01HN6DQBJZQPYRHB5AJ95SVPMC,2024-01-27T21:39:01.326221889Z,01HN6DQCYQ5HM5Q9BBY5XV00K5,2024-01-27T21:39:01.326221889Z,01HN6DM2QFV4W4XX6PP7SQQ7VB,2024-01-27T21:39:01.326221889Z,true,2024-01-27T21:39:04.581478378Z
01HN6DS8VMB1FS7EZ00STQ457N,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:39:04.692697542Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:39:04.692697542Z,01HN6DQBKAFZAB7MYDTDNYRY93,2024-01-27T21:39:04.692697542Z,01HN6DQCKR6NY7Q9GVTDN8GEB9,2024-01-27T21:39:04.692697542Z,01HN6DJBKAA6M1H62AF81BYGZ1,2024-01-27T21:39:04.692697542Z,true,2024-01-27T21:39:07.500302166Z
01HN6DS8VX2TH50HVG1AE5DF7S,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:39:04.701324149Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:39:04.701324149Z,01HN6DQBKAFZAB7MYDTDNYRY93,2024-01-27T21:39:04.701324149Z,01HN6DQCKR6NY7Q9GVTDN8GEB9,2024-01-27T21:39:04.701324149Z,01HN6DM2QFV4W4XX6PP7SQQ7VB,2024-01-27T21:39:04.701324149Z,true,2024-01-27T21:39:08.044849868Z
01HN6DSC7KB6YXE335DD8JMC95,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:39:08.152271275Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:39:08.152271275Z,01HN6DQBKFHD8570E6MQB728WT,2024-01-27T21:39:08.152271275Z,01HN6DQCYWKKZMGFPCZMXY0X3V,2024-01-27T21:39:08.152271275Z,01HN6DJBKAA6M1H62AF81BYGZ1,2024-01-27T21:39:08.152271275Z,true,2024-01-27T21:39:09.878545026Z
01HN6DSC7YG9BQ4SDCGSN9YFFB,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:39:08.158872016Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:39:08.158872016Z,01HN6DQBKFHD8570E6MQB728WT,2024-01-27T21:39:08.158872016Z,01HN6DQCYWKKZMGFPCZMXY0X3V,2024-01-27T21:39:08.158872016Z,01HN6DM2QFV4W4XX6PP7SQQ7VB,2024-01-27T21:39:08.158872016Z,true,2024-01-27T21:39:11.169276748Z
01HN6DSF9GKNZ7510WTDPR9X5M,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:39:11.280306401Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:39:11.280306401Z,01HN6DQBKKNTPR7BXX4ZB69T43,2024-01-27T21:39:11.280306401Z,01HN6DQCKZA4QXZJ1S9FNCTT9B,2024-01-27T21:39:11.280306401Z,01HN6DJBKAA6M1H62AF81BYGZ1,2024-01-27T21:39:11.280306401Z,true,2024-01-27T21:39:13.577354603Z
01HN6DSF9RKPT6ZHPDVZE01S7H,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:39:11.288127146Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:39:11.288127146Z,01HN6DQBKKNTPR7BXX4ZB69T43,2024-01-27T21:39:11.288127146Z,01HN6DQCKZA4QXZJ1S9FNCTT9B,2024-01-27T21:39:11.288127146Z,01HN6DM2QFV4W4XX6PP7SQQ7VB,2024-01-27T21:39:11.288127146Z,true,2024-01-27T21:39:14.21294671Z
01HN6DSJ8Q87N7N0AF9TD5C86A,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:39:14.327336502Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:39:14.327336502Z,01HN6DQBJRNGADVQ6XYRF8FHDZ,2024-01-27T21:39:14.327336502Z,01HN6DQCXWQBNEZSVBZTV4JES7,2024-01-27T21:39:14.327336502Z,01HN6DJBKAA6M1H62AF81BYGZ1,2024-01-27T21:39:14.327336502Z,true,2024-01-27T21:39:16.640511292Z
01HN6DSJ8Z5HDR7NNQDYXJW9GE,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:39:14.335261775Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:39:14.335261775Z,01HN6DQBJRNGADVQ6XYRF8FHDZ,2024-01-27T21:39:14.335261775Z,01HN6DQCXWQBNEZSVBZTV4JES7,2024-01-27T21:39:14.335261775Z,01HN6DM2QFV4W4XX6PP7SQQ7VB,2024-01-27T21:39:14.335261775Z,true,2024-01-27T21:39:17.332899217Z
01HN6DSNAQKBP5RK34X3S7ZF0V,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:39:17.463613629Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:39:17.463613629Z,01HN6DQBMMDWYS14X6NTXX252J,2024-01-27T21:39:17.463613629Z,01HN6DQCN1PKA7H2PP1R4Y0DY3,2024-01-27T21:39:17.463613629Z,01HN6DJBKAA6M1H62AF81BYGZ1,2024-01-27T21:39:17.463613629Z,true,2024-01-27T21:39:18.998875063Z
01HN6DSNAZYBCZ32RZ9R8PJ7KP,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:39:17.472015565Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:39:17.472015565Z,01HN6DQBMMDWYS14X6NTXX252J,2024-01-27T21:39:17.472015565Z,01HN6DQCN1PKA7H2PP1R4Y0DY3,2024-01-27T21:39:17.472015565Z,01HN6DM2QFV4W4XX6PP7SQQ7VB,2024-01-27T21:39:17.472015565Z,true,2024-01-27T21:39:20.748757904Z
01HN6DSRM64JX66XFPA7C54Z6R,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:39:20.838685929Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:39:20.838685929Z,01HN6DQBN4DB4AZC1DZ8X0Z3FJ,2024-01-27T21:39:20.838685929Z,01HN6DQCNAD8181XEQAM3M3RQ1,2024-01-27T21:39:20.838685929Z,01HN6DJBKAA6M1H62AF81BYGZ1,2024-01-27T21:39:20.838685929Z,true,2024-01-27T21:39:23.480273045Z
01HN6DSRMCZHR6E42610T0BZ8D,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:39:20.844857602Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:39:20.844857602Z,01HN6DQBN4DB4AZC1DZ8X0Z3FJ,2024-01-27T21:39:20.844857602Z,01HN6DQCNAD8181XEQAM3M3RQ1,2024-01-27T21:39:20.844857602Z,01HN6DM2QFV4W4XX6PP7SQQ7VB,2024-01-27T21:39:20.844857602Z,true,2024-01-27T21:39:25.099903308Z
01HN6DSWVSC54016X7Y7EBA4TA,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:39:25.177513614Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:39:25.177513614Z,01HN6DQBKQT5CDJ6SS8B9NMFYW,2024-01-27T21:39:25.177513614Z,01HN6DQCZ33QE7F7KV6XWGGYQS,2024-01-27T21:39:25.177513614Z,01HN6DJBKAA6M1H62AF81BYGZ1,2024-01-27T21:39:25.177513614Z,true,2024-01-27T21:39:28.168566593Z
01HN6DSWW43VD7B1J99502PRYG,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:39:25.190265468Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:39:25.190265468Z,01HN6DQBKQT5CDJ6SS8B9NMFYW,2024-01-27T21:39:25.190265468Z,01HN6DQCZ33QE7F7KV6XWGGYQS,2024-01-27T21:39:25.190265468Z,01HN6DM2QFV4W4XX6PP7SQQ7VB,2024-01-27T21:39:25.190265468Z,true,2024-01-27T21:39:28.899945997Z
01HN6DT0JQTPQECP21MDXGBYKV,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:39:28.983187898Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:39:28.983187898Z,01HN6DQBJP5CG12DJMPJHC9CAF,2024-01-27T21:39:28.983187898Z,01HN6DQCYA4KY4PVQAP7D6S00F,2024-01-27T21:39:28.983187898Z,01HN6DJBKAA6M1H62AF81BYGZ1,2024-01-27T21:39:28.983187898Z,true,2024-01-27T21:39:30.389905905Z
01HN6DT0JX3P2TPNA5HV9NQ5XB,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:39:28.989280059Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:39:28.989280059Z,01HN6DQBJP5CG12DJMPJHC9CAF,2024-01-27T21:39:28.989280059Z,01HN6DQCYA4KY4PVQAP7D6S00F,2024-01-27T21:39:28.989280059Z,01HN6DM2QFV4W4XX6PP7SQQ7VB,2024-01-27T21:39:28.989280059Z,true,2024-01-27T21:39:32.548646975Z
01HN6DT4647KBZZV6R8VFKFG1Q,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:39:32.676622324Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:39:32.676622324Z,01HN6DQBJKCJQ4WAGX3ZPBNAH8,2024-01-27T21:39:32.676622324Z,01HN6DQCY4VB5KWD7QZMA7YJR2,2024-01-27T21:39:32.676622324Z,01HN6DJBKAA6M1H62AF81BYGZ1,2024-01-27T21:39:32.676622324Z,true,2024-01-27T21:39:34.922755159Z
01HN6DT46DX9K0FTMPQSE07SHM,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:39:32.685318606Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:39:32.685318606Z,01HN6DQBJKCJQ4WAGX3ZPBNAH8,2024-01-27T21:39:32.685318606Z,01HN6DQCY4VB5KWD7QZMA7YJR2,2024-01-27T21:39:32.685318606Z,01HN6DM2QFV4W4XX6PP7SQQ7VB,2024-01-27T21:39:32.685318606Z,true,2024-01-27T21:39:36.163852963Z
