prior	cost	informativity	prob
0.5	0.15	low	0.599881965765524
0.5	0.2	low	0.594407971114113
0.5	0.25	low	0.588995370974735
0.5	0.3	low	0.583651116987977
0.5	0.35	low	0.578381741114908
0.5	0.4	low	0.573193329931944
0.5	0.45	low	0.568091504332708
0.5	0.5	low	0.563081404602315
0.5	0.55	low	0.558167680734811
0.5	0.6	low	0.553354487780582
0.5	0.65	low	0.54864548593867
0.5	0.7	low	0.544043845050013
0.5	0.75	low	0.53955225310204
0.55	0	low	0.63886469450291
0.55	0.05	low	0.633384086385777
0.55	0.1	low	0.627935190810651
0.55	0.15	low	0.622525953093875
0.55	0.2	low	0.61716404541741
0.55	0.25	low	0.611856824348171
0.55	0.3	low	0.606611292823385
0.55	0.35	low	0.601434066945806
0.55	0.4	low	0.596331347824883
0.55	0.45	low	0.591308898593263
0.55	0.5	low	0.586372026625374
0.55	0.55	low	0.581525570889172
0.55	0.6	low	0.576773894275441
0.55	0.65	low	0.572120880673272
0.55	0.7	low	0.567569936496386
0.55	0.75	low	0.563123996313563
0.6	0	low	0.658687641386173
0.6	0.05	low	0.653344631294699
0.6	0.1	low	0.648027544536261
0.6	0.15	low	0.642744225074235
0.6	0.2	low	0.637502278185555
0.6	0.25	low	0.632309027164586
0.6	0.3	low	0.627171474104728
0.6	0.35	low	0.622096265142993
0.6	0.4	low	0.617089660450315
0.6	0.45	low	0.612157509147245
0.6	0.5	low	0.60730522922402
0.6	0.55	low	0.602537792448556
0.6	0.6	low	0.597859714158171
0.6	0.65	low	0.593275047752511
0.6	0.7	low	0.58878738363777
0.6	0.75	low	0.584399852316477
0.65	0	low	0.676447636643207
0.65	0.05	low	0.671243884863825
0.65	0.1	low	0.66606101617881
0.65	0.15	low	0.660906744391247
0.65	0.2	low	0.655788575462248
0.65	0.25	low	0.650713763846597
0.65	0.3	low	0.645689272540708
0.65	0.35	low	0.640721737259488
0.65	0.4	low	0.635817435061944
0.65	0.45	low	0.630982257646437
0.65	0.5	low	0.62622168943856
0.65	0.55	low	0.621540790500526
0.65	0.6	low	0.616944184203085
0.65	0.65	low	0.612436049521454
0.65	0.7	low	0.60802011774697
0.65	0.75	low	0.603699673347216
0.7	0	low	0.692450785804296
0.7	0.05	low	0.687385468889041
0.7	0.1	low	0.682336645172588
0.7	0.15	low	0.6773118794092
0.7	0.2	low	0.67231855602749
0.7	0.25	low	0.667363835434
0.7	0.3	low	0.662454613689647
0.7	0.35	low	0.657597485998932
0.7	0.4	low	0.652798714360814
0.7	0.45	low	0.648064199635704
0.7	0.5	low	0.643399458188403
0.7	0.55	low	0.638809603174681
0.7	0.6	low	0.634299330452067
0.7	0.65	low	0.62987290901556
0.7	0.7	low	0.625534175787721
0.7	0.75	low	0.621286534531487
0.75	0	low	0.706945487753481
0.75	0.05	low	0.702016165857158
0.75	0.1	low	0.697099509767337
0.75	0.15	low	0.692202923437978
0.75	0.2	low	0.687333654998204
0.75	0.25	low	0.682498753274692
0.75	0.3	low	0.677705027374282
0.75	0.35	low	0.67295900978357
0.75	0.4	low	0.668266923356789
0.75	0.45	low	0.663634652473554
0.75	0.5	low	0.659067718556932
0.75	0.55	low	0.654571260052604
0.75	0.6	low	0.650150016884143
0.75	0.65	low	0.645808319319786
0.75	0.7	low	0.641550081114248
0.75	0.75	low	0.637378796726449
0	0	med	0
0	0.05	med	0
0	0.1	med	0
0	0.15	med	0
0	0.2	med	0
0	0.25	med	0
0	0.3	med	0
0	0.35	med	0
0	0.4	med	0
0	0.45	med	0
0	0.5	med	0
0	0.55	med	0
