id,batchID,batchIDLastChangedAt,start,startLastChangedAt,index,indexLastChangedAt,ended,endedLastChangedAt,instructions,instructionsLastChangedAt,name,nameLastChangedAt,gameID,gameIDLastChangedAt,stageIndex,stageIndexLastChangedAt,label,labelLastChangedAt,target,targetLastChangedAt,guesserOrder,guesserOrderLastChangedAt,directorOrder,directorOrderLastChangedAt,images,imagesLastChangedAt,verb,verbLastChangedAt,decision,decisionLastChangedAt
01HN18WNNRBH1B2MBPWBD3V6PK,01HN187YCXB60XZ0PQZWHRY6N1,2024-01-25T21:37:21.080907414Z,true,2024-01-25T21:39:37.313717096Z,10,2024-01-25T21:37:21.080907414Z,true,2024-01-25T21:39:53.491836381Z,,2024-01-25T21:37:21.080907414Z,Round 10,2024-01-25T21:37:21.080907414Z,01HN187YDF34FNAC271Z96WJRJ,2024-01-25T21:37:21.080907414Z,1,2024-01-25T21:37:21.857551093Z,cup,2024-01-25T21:37:21.080907414Z,,,,,,,,,,,,
01HN18WNNT95ZNKVRQNR64PNYX,01HN187YCXB60XZ0PQZWHRY6N1,2024-01-25T21:37:21.082693281Z,true,2024-01-25T21:39:53.507059229Z,11,2024-01-25T21:37:21.082693281Z,true,2024-01-25T21:40:00.966820838Z,,2024-01-25T21:37:21.082693281Z,Round 11,2024-01-25T21:37:21.082693281Z,01HN187YDF34FNAC271Z96WJRJ,2024-01-25T21:37:21.082693281Z,1,2024-01-25T21:37:21.868251683Z,jug,2024-01-25T21:37:21.082693281Z,,,,,,,,,,,,
01HN18WNP0TRTNECWFHHNT5GCZ,01HN187YCXB60XZ0PQZWHRY6N1,2024-01-25T21:37:21.088209829Z,true,2024-01-25T21:40:00.986491112Z,12,2024-01-25T21:37:21.088209829Z,true,2024-01-25T21:40:16.085902885Z,,2024-01-25T21:37:21.088209829Z,Round 12,2024-01-25T21:37:21.088209829Z,01HN187YDF34FNAC271Z96WJRJ,2024-01-25T21:37:21.088209829Z,1,2024-01-25T21:37:21.868251683Z,doctor,2024-01-25T21:37:21.088209829Z,,,,,,,,,,,,
01HN18WNP3N4XZK8EPP72QSWCB,01HN187YCXB60XZ0PQZWHRY6N1,2024-01-25T21:37:21.091058814Z,true,2024-01-25T21:40:16.10026421Z,13,2024-01-25T21:37:21.091058814Z,true,2024-01-25T21:40:29.253319144Z,,2024-01-25T21:37:21.091058814Z,Round 13,2024-01-25T21:37:21.091058814Z,01HN187YDF34FNAC271Z96WJRJ,2024-01-25T21:37:21.091058814Z,1,2024-01-25T21:37:21.896610861Z,burglar,2024-01-25T21:37:21.091058814Z,,,,,,,,,,,,
01HN18WNP5RX0N7HRMX9WFN49H,01HN187YCXB60XZ0PQZWHRY6N1,2024-01-25T21:37:21.093737243Z,true,2024-01-25T21:40:29.277891271Z,14,2024-01-25T21:37:21.093737243Z,true,2024-01-25T21:40:39.772645115Z,,2024-01-25T21:37:21.093737243Z,Round 14,2024-01-25T21:37:21.093737243Z,01HN187YDF34FNAC271Z96WJRJ,2024-01-25T21:37:21.093737243Z,1,2024-01-25T21:37:21.862254719Z,boxer,2024-01-25T21:37:21.093737243Z,,,,,,,,,,,,
01HN18WNP664CE4XESZAZ60CR3,01HN187YCXB60XZ0PQZWHRY6N1,2024-01-25T21:37:21.094769521Z,true,2024-01-25T21:40:39.793137746Z,15,2024-01-25T21:37:21.094769521Z,true,2024-01-25T21:41:02.083592Z,,2024-01-25T21:37:21.094769521Z,Round 15,2024-01-25T21:37:21.094769521Z,01HN187YDF34FNAC271Z96WJRJ,2024-01-25T21:37:21.094769521Z,1,2024-01-25T21:37:21.913230927Z,monk,2024-01-25T21:37:21.094769521Z,,,,,,,,,,,,
01HN18WNP972ACAJKS0ABDCNMJ,01HN187YCXB60XZ0PQZWHRY6N1,2024-01-25T21:37:21.097154398Z,true,2024-01-25T21:41:02.104628623Z,16,2024-01-25T21:37:21.097154398Z,true,2024-01-25T21:41:12.658053561Z,,2024-01-25T21:37:21.097154398Z,Round 16,2024-01-25T21:37:21.097154398Z,01HN187YDF34FNAC271Z96WJRJ,2024-01-25T21:37:21.097154398Z,1,2024-01-25T21:37:21.918199975Z,clown,2024-01-25T21:37:21.097154398Z,,,,,,,,,,,,
01HN18WNPGXRMHJSTRVHNE45YQ,01HN187YCXB60XZ0PQZWHRY6N1,2024-01-25T21:37:21.104067119Z,true,2024-01-25T21:47:42.148360007Z,54,2024-01-25T21:37:21.104067119Z,true,2024-01-25T21:48:05.950794675Z,,2024-01-25T21:37:21.104067119Z,Round 51,2024-01-25T21:37:21.104067119Z,01HN187YDF34FNAC271Z96WJRJ,2024-01-25T21:37:21.104067119Z,1,2024-01-25T21:37:21.908192092Z,,,,,,,,,,,,,,
01HN18WNPGXRMHJSTRW0JSZV2J,01HN187YCXB60XZ0PQZWHRY6N1,2024-01-25T21:37:21.104362665Z,true,2024-01-25T21:41:34.069834293Z,19,2024-01-25T21:37:21.104362665Z,true,2024-01-25T21:41:44.627697613Z,,2024-01-25T21:37:21.104362665Z,Round 19,2024-01-25T21:37:21.104362665Z,01HN187YDF34FNAC271Z96WJRJ,2024-01-25T21:37:21.104362665Z,1,2024-01-25T21:37:21.902365466Z,ball,2024-01-25T21:37:21.104362665Z,,,,,,,,,,,,
01HN18WNPPE652M5E8B4AVHNKT,01HN187YCXB60XZ0PQZWHRY6N1,2024-01-25T21:37:21.110181624Z,true,2024-01-25T21:41:26.651495183Z,18,2024-01-25T21:37:21.110181624Z,true,2024-01-25T21:41:34.052276157Z,,2024-01-25T21:37:21.110181624Z,Round 18,2024-01-25T21:37:21.110181624Z,01HN187YDF34FNAC271Z96WJRJ,2024-01-25T21:37:21.110181624Z,1,2024-01-25T21:37:21.90006495Z,hat,2024-01-25T21:37:21.110181624Z,,,,,,,,,,,,
