id,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,roundID,roundIDLastChangedAt,stageID,stageIDLastChangedAt,playerID,playerIDLastChangedAt,submit,submitLastChangedAt
01HN18Z6Q2TH4SNPHZH76B06AY,01HN187YCXB60XZ0PQZWHRY6N1,2024-01-25T21:38:44.066120808Z,01HN187YDF34FNAC271Z96WJRJ,2024-01-25T21:38:44.066120808Z,01HN18WNNCYDVVXWAWN8F6Q4QH,2024-01-25T21:38:44.066120808Z,01HN18WPBCXQP99MXGWAV6AXAX,2024-01-25T21:38:44.066120808Z,01HN18P9GQ55SW966S2SNPW44G,2024-01-25T21:38:44.066120808Z,true,2024-01-25T21:38:59.511719757Z
01HN18Z6Q7FEAYNM3RBER7JYJD,01HN187YCXB60XZ0PQZWHRY6N1,2024-01-25T21:38:44.071128307Z,01HN187YDF34FNAC271Z96WJRJ,2024-01-25T21:38:44.071128307Z,01HN18WNNCYDVVXWAWN8F6Q4QH,2024-01-25T21:38:44.071128307Z,01HN18WPBCXQP99MXGWAV6AXAX,2024-01-25T21:38:44.071128307Z,01HN18R46VPX0FPB25FHJFP285,2024-01-25T21:38:44.071128307Z,true,2024-01-25T21:38:46.409959951Z
01HN18ZB1PCTZJT2HZ29R8QWVV,01HN18RG2YEZZ7J81WKQN6ZJ73,2024-01-25T21:38:48.502690706Z,01HN18RG36Q7PGRC3258N7RBK0,2024-01-25T21:38:48.502690706Z,01HN18Z7Y1QAHVMYRH58K5B87W,2024-01-25T21:38:48.502690706Z,01HN18Z8SFN9BNN8T26XZ1TA2Q,2024-01-25T21:38:48.502690706Z,01HN18S4EPTM6EB1Y739PZB86V,2024-01-25T21:38:48.502690706Z,,
01HN18ZB1XDVHNRA2B0ATWKEBR,01HN18RG2YEZZ7J81WKQN6ZJ73,2024-01-25T21:38:48.509669158Z,01HN18RG36Q7PGRC3258N7RBK0,2024-01-25T21:38:48.509669158Z,01HN18Z7Y1QAHVMYRH58K5B87W,2024-01-25T21:38:48.509669158Z,01HN18Z8SFN9BNN8T26XZ1TA2Q,2024-01-25T21:38:48.509669158Z,01HN18W9N55Z49RAF61J5QQHEN,2024-01-25T21:38:48.509669158Z,true,2024-01-25T21:39:12.041509818Z
01HN18ZNWXG56B2BBWJYWFHDBJ,01HN187YCXB60XZ0PQZWHRY6N1,2024-01-25T21:38:59.613156294Z,01HN187YDF34FNAC271Z96WJRJ,2024-01-25T21:38:59.613156294Z,01HN18WNNE8D4T3VBA1JWKZH15,2024-01-25T21:38:59.613156294Z,01HN18WPDAN4V3VVMBBQ89BB3R,2024-01-25T21:38:59.613156294Z,01HN18P9GQ55SW966S2SNPW44G,2024-01-25T21:38:59.613156294Z,true,2024-01-25T21:39:12.87201767Z
01HN18ZNX6TFZ39HSDD9TKGXHE,01HN187YCXB60XZ0PQZWHRY6N1,2024-01-25T21:38:59.62295311Z,01HN187YDF34FNAC271Z96WJRJ,2024-01-25T21:38:59.62295311Z,01HN18WNNE8D4T3VBA1JWKZH15,2024-01-25T21:38:59.62295311Z,01HN18WPDAN4V3VVMBBQ89BB3R,2024-01-25T21:38:59.62295311Z,01HN18R46VPX0FPB25FHJFP285,2024-01-25T21:38:59.62295311Z,true,2024-01-25T21:39:02.802956732Z
01HN19023PK3JD7S49H1XA1QTF,01HN18RG2YEZZ7J81WKQN6ZJ73,2024-01-25T21:39:12.118597609Z,01HN18RG36Q7PGRC3258N7RBK0,2024-01-25T21:39:12.118597609Z,01HN18Z7Y46XFEV6EFDAT7GWEC,2024-01-25T21:39:12.118597609Z,01HN18Z8SKA8DQECSNVEJG45VD,2024-01-25T21:39:12.118597609Z,01HN18S4EPTM6EB1Y739PZB86V,2024-01-25T21:39:12.118597609Z,,
01HN19023XXDEQZNMXX9SQW7VZ,01HN18RG2YEZZ7J81WKQN6ZJ73,2024-01-25T21:39:12.125723212Z,01HN18RG36Q7PGRC3258N7RBK0,2024-01-25T21:39:12.125723212Z,01HN18Z7Y46XFEV6EFDAT7GWEC,2024-01-25T21:39:12.125723212Z,01HN18Z8SKA8DQECSNVEJG45VD,2024-01-25T21:39:12.125723212Z,01HN18W9N55Z49RAF61J5QQHEN,2024-01-25T21:39:12.125723212Z,true,2024-01-25T21:39:16.222648094Z
01HN1902YMHQTJ4PPTZ13Y3EYM,01HN187YCXB60XZ0PQZWHRY6N1,2024-01-25T21:39:12.980798709Z,01HN187YDF34FNAC271Z96WJRJ,2024-01-25T21:39:12.980798709Z,01HN18WNMZ4GT225SP6595ZG36,2024-01-25T21:39:12.980798709Z,01HN18WPC8A73Z75NC8EATRMRM,2024-01-25T21:39:12.980798709Z,01HN18P9GQ55SW966S2SNPW44G,2024-01-25T21:39:12.980798709Z,true,2024-01-25T21:39:20.552014874Z
01HN1902YVKP4TK5GXJT8YS17R,01HN187YCXB60XZ0PQZWHRY6N1,2024-01-25T21:39:12.987335312Z,01HN187YDF34FNAC271Z96WJRJ,2024-01-25T21:39:12.987335312Z,01HN18WNMZ4GT225SP6595ZG36,2024-01-25T21:39:12.987335312Z,01HN18WPC8A73Z75NC8EATRMRM,2024-01-25T21:39:12.987335312Z,01HN18R46VPX0FPB25FHJFP285,2024-01-25T21:39:12.987335312Z,true,2024-01-25T21:39:16.331080618Z
