id,name,nameLastChangedAt,duration,durationLastChangedAt,gameID,gameIDLastChangedAt,started,startedLastChangedAt,batchID,batchIDLastChangedAt,roundID,roundIDLastChangedAt,timerID,timerIDLastChangedAt,index,indexLastChangedAt,start,startLastChangedAt,ended,endedLastChangedAt,endedReason,endedReasonLastChangedAt,status,statusLastChangedAt
01HN18WPDGWS0QF41W2TJB0D7N,train,2024-01-25T21:37:21.840092441Z,10000,2024-01-25T21:37:21.840092441Z,01HN187YDF34FNAC271Z96WJRJ,2024-01-25T21:37:21.840092441Z,true,2024-01-25T21:41:12.81323557Z,01HN187YCXB60XZ0PQZWHRY6N1,2024-01-25T21:37:21.840092441Z,01HN18WNNGWWYV0WJCF1MXZC7M,2024-01-25T21:37:21.840092441Z,01HN18WNZWMJ8VWJRKM249N9FV,2024-01-25T21:37:21.840092441Z,0,2024-01-25T21:37:21.840092441Z,true,2024-01-25T21:41:12.72470591Z,true,2024-01-25T21:41:26.609002009Z,,,,
01HN18WPDTFG2904S774DJ7749,train,2024-01-25T21:37:21.850931577Z,10000,2024-01-25T21:37:21.850931577Z,01HN187YDF34FNAC271Z96WJRJ,2024-01-25T21:37:21.850931577Z,true,2024-01-25T21:39:53.59100963Z,01HN187YCXB60XZ0PQZWHRY6N1,2024-01-25T21:37:21.850931577Z,01HN18WNNT95ZNKVRQNR64PNYX,2024-01-25T21:37:21.850931577Z,01HN18WNZWMJ8VWJRKMF4J9TCB,2024-01-25T21:37:21.850931577Z,0,2024-01-25T21:37:21.850931577Z,true,2024-01-25T21:39:53.545595229Z,true,2024-01-25T21:40:00.956653071Z,,,,
01HN18WPDYWJ3G44SXF9H9VMWK,train,2024-01-25T21:37:21.854857724Z,10000,2024-01-25T21:37:21.854857724Z,01HN187YDF34FNAC271Z96WJRJ,2024-01-25T21:37:21.854857724Z,true,2024-01-25T21:40:01.056994542Z,01HN187YCXB60XZ0PQZWHRY6N1,2024-01-25T21:37:21.854857724Z,01HN18WNP0TRTNECWFHHNT5GCZ,2024-01-25T21:37:21.854857724Z,01HN18WNZWMJ8VWJRKMGWRE0DB,2024-01-25T21:37:21.854857724Z,0,2024-01-25T21:37:21.854857724Z,true,2024-01-25T21:40:01.02350357Z,true,2024-01-25T21:40:16.060097697Z,,,,
01HN18WPE9Z796C28VCRC1K1XK,train,2024-01-25T21:37:21.865203126Z,10000,2024-01-25T21:37:21.865203126Z,01HN187YDF34FNAC271Z96WJRJ,2024-01-25T21:37:21.865203126Z,true,2024-01-25T21:40:29.409541329Z,01HN187YCXB60XZ0PQZWHRY6N1,2024-01-25T21:37:21.865203126Z,01HN18WNP5RX0N7HRMX9WFN49H,2024-01-25T21:37:21.865203126Z,01HN18WP00AZVY8RDYNVXF2FZ5,2024-01-25T21:37:21.865203126Z,0,2024-01-25T21:37:21.865203126Z,true,2024-01-25T21:40:29.36201422Z,true,2024-01-25T21:40:39.752559466Z,,,,
01HN18WPEDZFG5G64VAGP1BV67,train,2024-01-25T21:37:21.869827828Z,10000,2024-01-25T21:37:21.869827828Z,01HN187YDF34FNAC271Z96WJRJ,2024-01-25T21:37:21.869827828Z,true,2024-01-25T21:41:55.762699932Z,01HN187YCXB60XZ0PQZWHRY6N1,2024-01-25T21:37:21.869827828Z,01HN18WNQM0NGM5BNWTHKGH76Y,2024-01-25T21:37:21.869827828Z,01HN18WP05GMMT2DKVYH17F6FN,2024-01-25T21:37:21.869827828Z,0,2024-01-25T21:37:21.869827828Z,true,2024-01-25T21:41:55.708382759Z,true,2024-01-25T21:42:02.030363423Z,,,,
01HN18WPEJA4X49C6DTZSHYWV0,train,2024-01-25T21:37:21.874890444Z,10000,2024-01-25T21:37:21.874890444Z,01HN187YDF34FNAC271Z96WJRJ,2024-01-25T21:37:21.874890444Z,true,2024-01-25T21:39:20.723474104Z,01HN187YCXB60XZ0PQZWHRY6N1,2024-01-25T21:37:21.874890444Z,01HN18WNNNESQHXFTCBGT5FJ78,2024-01-25T21:37:21.874890444Z,01HN18WNZWMJ8VWJRKM33Y79H9,2024-01-25T21:37:21.874890444Z,0,2024-01-25T21:37:21.874890444Z,true,2024-01-25T21:39:20.661703663Z,true,2024-01-25T21:39:37.278836435Z,,,,
01HN18WPEKTVE6MV7RTFR8QPZH,joinroom,2024-01-25T21:37:21.8756829Z,10000,2024-01-25T21:37:21.8756829Z,01HN187YDF34FNAC271Z96WJRJ,2024-01-25T21:37:21.8756829Z,true,2024-01-25T21:47:42.256896191Z,01HN187YCXB60XZ0PQZWHRY6N1,2024-01-25T21:37:21.8756829Z,01HN18WNPGXRMHJSTRVHNE45YQ,2024-01-25T21:37:21.8756829Z,01HN18WP04NW63HJZYHQF367WG,2024-01-25T21:37:21.8756829Z,0,2024-01-25T21:37:21.8756829Z,true,2024-01-25T21:47:42.196379752Z,true,2024-01-25T21:48:05.929900696Z,,,,
01HN18WPF1HPPKCK06RT9X3TG0,train,2024-01-25T21:37:21.889924613Z,10000,2024-01-25T21:37:21.889924613Z,01HN187YDF34FNAC271Z96WJRJ,2024-01-25T21:37:21.889924613Z,true,2024-01-25T21:42:11.852602851Z,01HN187YCXB60XZ0PQZWHRY6N1,2024-01-25T21:37:21.889924613Z,01HN18WNRDEQ514WY98NMBZCG3,2024-01-25T21:37:21.889924613Z,01HN18WP0717TM0N4JYK9WJM1A,2024-01-25T21:37:21.889924613Z,0,2024-01-25T21:37:21.889924613Z,true,2024-01-25T21:42:11.809914994Z,true,2024-01-25T21:42:14.953059918Z,,,,
01HN18WPF4SGN5N76PPAH38RPJ,train,2024-01-25T21:37:21.892368154Z,10000,2024-01-25T21:37:21.892368154Z,01HN187YDF34FNAC271Z96WJRJ,2024-01-25T21:37:21.892368154Z,true,2024-01-25T21:42:02.243127985Z,01HN187YCXB60XZ0PQZWHRY6N1,2024-01-25T21:37:21.892368154Z,01HN18WNR1BND4EA0JWH64XMHM,2024-01-25T21:37:21.892368154Z,01HN18WP0717TM0N4JY202EMEJ,2024-01-25T21:37:21.892368154Z,0,2024-01-25T21:37:21.892368154Z,true,2024-01-25T21:42:02.181223719Z,true,2024-01-25T21:42:09.378986029Z,,,,
01HN18WPF80VDP5V9A97HH0XMR,train,2024-01-25T21:37:21.896794928Z,10000,2024-01-25T21:37:21.896794928Z,01HN187YDF34FNAC271Z96WJRJ,2024-01-25T21:37:21.896794928Z,true,2024-01-25T21:40:16.202030923Z,01HN187YCXB60XZ0PQZWHRY6N1,2024-01-25T21:37:21.896794928Z,01HN18WNP3N4XZK8EPP72QSWCB,2024-01-25T21:37:21.896794928Z,01HN18WNZX2HX5GZZRRJTWTM6R,2024-01-25T21:37:21.896794928Z,0,2024-01-25T21:37:21.896794928Z,true,2024-01-25T21:40:16.171078992Z,true,2024-01-25T21:40:29.226925319Z,,,,
