trialid,label
1,artist
2,boxer
3,burglar
4,monk
5,chef
6,book
7,gun
8,palette
9,swimmer
10,clown
11,sailor
12,cowboy
13,ballerina
14,waitress
15,hat
16,jug
17,soldier
18,banana
19,doctor
20,apple
21,cup
22,pirate
23,cake
24,ball
