trialid,label
1,cup
2,cowboy
3,hat
4,sailor
5,ballerina
6,waitress
7,book
8,burglar
9,artist
10,cake
11,swimmer
12,doctor
13,apple
14,soldier
15,banana
16,chef
17,jug
18,monk
19,gun
20,pirate
21,ball
22,clown
23,boxer
24,palette
