trialid,label
1,chef
2,cowboy
3,cake
4,ballerina
5,banana
6,palette
7,boxer
8,pirate
9,waitress
10,gun
11,cup
12,artist
13,monk
14,sailor
15,soldier
16,swimmer
17,book
18,apple
19,clown
20,doctor
21,burglar
22,ball
23,hat
24,jug
