trialid,label
1,soldier
2,ball
3,waitress
4,jug
5,doctor
6,pirate
7,chef
8,artist
9,clown
10,sailor
11,hat
12,banana
13,swimmer
14,cowboy
15,cup
16,book
17,boxer
18,gun
19,apple
20,ballerina
21,palette
22,monk
23,cake
24,burglar
