trialid,label
1,ball
2,waitress
3,pirate
4,clown
5,artist
6,cowboy
7,cake
8,book
9,jug
10,apple
11,doctor
12,banana
13,cup
14,soldier
15,monk
16,ballerina
17,sailor
18,swimmer
19,burglar
20,boxer
21,gun
22,hat
23,palette
24,chef
