trialid,label
1,palette
2,swimmer
3,doctor
4,artist
5,ballerina
6,banana
7,cowboy
8,sailor
9,soldier
10,cake
11,waitress
12,ball
13,gun
14,monk
15,jug
16,cup
17,chef
18,apple
19,hat
20,boxer
21,burglar
22,pirate
23,book
24,clown
