trialid,label
1,monk
2,banana
3,gun
4,cup
5,waitress
6,ballerina
7,hat
8,sailor
9,chef
10,swimmer
11,clown
12,soldier
13,book
14,jug
15,cake
16,artist
17,cowboy
18,apple
19,doctor
20,ball
21,boxer
22,pirate
23,burglar
24,palette
