trialid,label
1,pirate
2,sailor
3,ballerina
4,palette
5,swimmer
6,burglar
7,soldier
8,cup
9,chef
10,banana
11,clown
12,jug
13,artist
14,waitress
15,gun
16,doctor
17,hat
18,monk
19,cake
20,apple
21,cowboy
22,book
23,ball
24,boxer
