trialid,label
1,soldier
2,clown
3,cake
4,ball
5,cowboy
6,ballerina
7,boxer
8,hat
9,waitress
10,gun
11,artist
12,book
13,jug
14,doctor
15,chef
16,burglar
17,pirate
18,cup
19,banana
20,sailor
21,palette
22,monk
23,swimmer
24,apple
