trialid,label
1,clown
2,gun
3,apple
4,banana
5,sailor
6,burglar
7,cowboy
8,swimmer
9,palette
10,chef
11,monk
12,soldier
13,hat
14,ball
15,doctor
16,ballerina
17,cup
18,book
19,artist
20,jug
21,pirate
22,cake
23,boxer
24,waitress
