trialid,label
1,palette
2,apple
3,ball
4,sailor
5,soldier
6,boxer
7,swimmer
8,waitress
9,gun
10,banana
11,monk
12,artist
13,hat
14,cake
15,clown
16,jug
17,cowboy
18,cup
19,ballerina
20,chef
21,burglar
22,pirate
23,doctor
24,book
