trialid,label
1,cup
2,palette
3,chef
4,doctor
5,burglar
6,waitress
7,banana
8,apple
9,pirate
10,swimmer
11,artist
12,jug
13,gun
14,cake
15,clown
16,sailor
17,hat
18,monk
19,soldier
20,book
21,cowboy
22,ballerina
23,ball
24,boxer
